Date,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Mid,BB_Width,BB_Pct,ATR,OBV,sentiment,news_volume,Target,sentiment_lag1,return_lag1,sentiment_lag2,return_lag2,sentiment_lag3,return_lag3,volatility_7d
2026-03-12,70493.4609375,70775.828125,69230.15625,70209.765625,40871848129,57.00993967739358,523.4659216291475,257.9587231506053,265.5071984785422,72284.75610987414,63656.97514012587,67970.865625,0.126933516153058,0.7923805462082325,3110.823026739002,-15998800531.0,0.0,0.0,1,0.0,0.004110513591636167,0.0,0.008101873317300168,0.0,0.030570252658184804,0.025434013737259092
2026-03-13,70968.265625,73927.328125,70410.7265625,70497.046875,61167226505,58.29869401457035,651.142047438334,336.595388008151,314.54665943018296,72636.65294242334,63601.52830757665,68119.090625,0.13263718807677047,0.8153442940910075,3147.5547275281992,45168425974.0,0.0,0.0,1,0.0,0.006735442992662266,0.0,0.010873642714265497,0.0,0.014891886015824918,0.019231409689281175
2026-03-14,71214.625,71291.203125,70339.5859375,70965.3828125,22283546496,58.985724345192565,763.405377659903,421.95738593850143,341.4479917214016,73013.64827988278,63580.056407617216,68296.85234375,0.13812630521805963,0.8092960450014967,2952.499253721846,67451972470.0,0.0,0.0,1,0.0,0.0034714019404360474,0.0,0.010230226362972772,0.0,0.014382791439119247,0.017509983772036473
2026-03-15,72789.9140625,73173.0078125,70882.421875,71213.6796875,27991268669,63.164669508758735,968.3252866350958,531.2309660778203,437.0943205572755,73495.48097158667,63915.54129403833,68705.5111328125,0.13943480689678087,0.9263495457345888,2894.709770383768,95443241139.0,0.0,0.0,1,0.0,0.022120302711697182,0.0,0.025668493113889523,0.0,0.032576824778628,0.01303483777445957
2026-03-16,74861.0859375,74901.859375,72300.6328125,72798.171875,55572438409,67.80884620688889,1283.06171490188,681.5971158426323,601.4645990592476,74263.84617367462,64225.28038882537,69244.56328125,0.14497262036408123,1.0594945310541035,2869.4872007125305,151015679548.0,0.0,0.0,0,0.0,0.028454105238008953,0.0,0.051203821370961355,0.0,0.0548529723562623,0.010791827963769679
2026-03-17,73922.4765625,75988.3984375,73444.2265625,74855.296875,49500721728,63.878316719869325,1440.1534767644334,833.3083880269926,606.8450887374408,74935.13782781368,64150.22389093632,69542.680859375,0.15508337906451955,0.9061039085484917,2841.9288803631803,101514957820.0,0.0,0.0,0,0.0,-0.01253801442025071,0.0,0.015559332835968664,0.0,0.03802381269998967,0.013496813420089406
2026-03-18,71245.578125,74658.9765625,70503.859375,73936.8515625,46229011155,54.22463396075842,1333.2773068360693,933.302171788808,399.97513504726135,75081.95378938522,64382.58839811477,69732.27109375,0.15343491934868908,0.6414389523031618,2951.714134849316,55285946665.0,0.0,0.0,0,0.0,-0.0362122396594321,0.0,-0.04829622449664317,0.0,-0.021216345113060253,0.021620067631081666
2026-03-19,69912.7890625,71598.84375,68805.5234375,71250.3515625,44631433398,50.16008782989369,1128.0290170706867,972.2475408451837,155.78147622550296,74967.07304939594,64900.56835685407,69933.820703125,0.14394329655282295,0.497910730559676,2938.631347415886,10654513267.0,0.0,0.0,1,0.0,-0.01870697238447039,0.0,-0.05424179067661361,0.0,-0.06609972074318071,0.022979964813797885
2026-03-20,70522.5859375,71346.796875,69398.8828125,69911.53125,38299078407,51.935299428770925,1003.0116858633992,978.4003698488269,24.611316014572253,74953.55462807063,65266.75943442936,70110.15703125,0.13816536153703957,0.542576404064033,2857.70527437677,48953591674.0,0.0,0.0,0,0.0,0.008722250723753211,0.0,-0.010147888564136731,0.0,-0.045992650450847106,0.023102705203366825
2026-03-21,68711.5234375,71051.2734375,68602.9140625,70522.46875,21109354718,46.62384047428684,749.1610795230663,932.5525117836748,-183.39143226060855,74703.27164258156,65814.38460741844,70258.828125,0.12651630083195498,0.32592818635459175,2824.607572632735,27844236956.0,0.0,0.0,0,0.0,-0.025680602546325204,0.0,-0.01718234447671807,0.0,-0.03556788721756199,0.02479714459394092
2026-03-22,67845.2109375,69561.7734375,67372.875,68737.4453125,30108051508,44.29045159138,472.6302787775203,840.568065182444,-367.9377864049237,74740.80567089384,65683.78651660617,70212.29609375,0.1289947723999,0.23864633430421703,2773.687251495152,-2263814552.0,0.0,0.0,1,0.0,-0.012607965253281006,0.0,-0.03796478765501876,0.0,-0.02957367532786659,0.021798186835727363
2026-03-23,70914.859375,71782.2578125,67458.84375,67843.0,51508669357,53.223601165975346,495.46123299366445,771.5466987446881,-276.08546575102366,74789.02855598221,65897.6847252678,70343.356640625,0.1263991975267703,0.5642763057256641,2896.753254569151,49244854805.0,0.0,0.0,0,0.0,0.04524488014825101,0.0,0.032066469018172006,0.0,0.005562380225927255,0.027009583520181513
2026-03-24,70517.859375,71371.3046875,68920.6953125,70912.671875,40181522399,52.06088669045102,476.03293520865554,712.4439460374816,-236.41101082882608,74539.53823837505,65927.90316787495,70233.720703125,0.12261396640085652,0.5329947413643131,2861.6049203525745,9063332406.0,0.0,0.0,1,0.0,-0.005598262529164066,0.0,0.03939332490191649,0.0,0.02628868997706113,0.026916631627643496
2026-03-25,71309.8828125,71985.7421875,70383.59375,70520.046875,35409791747,54.210058436977704,518.5678144630365,673.6687197225926,-155.10090525955616,74581.9586873125,65932.35850018752,70257.15859375,0.12311343584416512,0.6217078472964549,2763.106132569606,44473124153.0,0.0,0.0,0,0.0,0.011231529778693128,0.0,0.005570390197223718,0.0,0.05106730198232712,0.02397255467607944
2026-03-26,68791.625,71410.390625,68118.3515625,71310.1171875,38962070215,46.995867446759476,345.0965944832715,607.9542946747284,-262.85770019145696,74556.61883173723,66023.21163701278,70289.915234375,0.12140300875695498,0.3244206329095276,2804.1940624680033,5511053938.0,0.0,0.0,0,0.0,-0.03531428903229905,0.0,-0.024479392742485673,0.0,-0.029940613204522792,0.026827249675639667
2026-03-27,66338.375,69117.53125,65532.5703125,68790.8359375,46483453594,41.23834908268395,9.552515074814437,488.27393875474564,-478.7214236799312,74666.57312717079,65819.83546657921,70243.204296875,0.12594439204683539,0.05861364418328547,2864.4678082781893,-40972399656.0,0.0,0.0,0,0.0,-0.035662044616623034,0.0,-0.06971695389784793,0.0,-0.0592684521629383,0.029025619979386377
2026-03-28,66319.6953125,67232.859375,65906.7421875,66338.5,20924883455,41.19696309288067,-254.93712352239527,339.6317262993175,-594.5688498217128,74615.13070935692,65906.26929064307,70260.7,0.12395067824137597,0.04747187973028757,2746.391261001034,-61897283111.0,0.0,0.0,0,0.0,-0.0002815819275042708,0.0,-0.03593358475686537,0.0,-0.06997890479109392,0.02806852241270643
2026-03-29,65954.921875,67052.953125,64971.70703125,66319.6953125,21645889785,40.34546230371803,-488.35181973363797,174.0350170927264,-662.3868368263644,74836.63452192927,65440.019384320716,70138.326953125,0.13397261591210355,0.05479659251111213,2695.608357329152,-83543172896.0,0.0,0.0,1,0.0,-0.005500227885263609,0.0,-0.005780261047998225,0.0,-0.041236169737231876,0.027863109384312336
2026-03-30,66691.4453125,68087.2890625,65759.8046875,65958.3515625,37694994180,42.911237092393854,-606.9073124092974,17.84655119232163,-624.7538636016191,74921.82906452565,65031.27718547436,69976.553125,0.14134094117759227,0.16785394256330244,2667.6402100424334,-45848178716.0,0.0,0.0,1,0.0,0.011167073154841889,0.0,0.005605423822415023,0.0,0.005322263508866554,0.01965468971235143
2026-03-31,68233.3125,68495.2734375,65950.4375,66694.5859375,42997691338,47.95758902828583,-569.8783949909848,-99.69843804433967,-470.1799569466451,74882.33546590684,64873.61375284316,69877.974609375,0.14323142261940847,0.33567710677495033,2658.3524040682187,-2850487378.0,0.0,0.0,0,0.0,0.02311941479563351,0.0,0.034544664146795245,0.0,0.028854432736504343,0.023076501671529553
